Continent,Region,Country,Value,Type,Year_
Asia,Asia,Philippines,214.0,Imports,2016
Asia,Asia,Saudi Arabia,132.0,Imports,2016
Asia,Asia,Singapore,1389.0,Imports,2016
Asia,Asia,South Korea,242.0,Imports,2016
Asia,Asia,Taiwan,106.0,Imports,2016
Asia,Asia,Thailand,73.0,Imports,2016
Asia,Asia,Rest Of Asia,1373.0,Imports,2016
Asia,Asia,Asia Unallocated,224.0,Imports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,824.0,Imports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,62.0,Imports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,14.0,Imports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,2.0,Imports,2016
Africa,Africa,Nigeria,104.0,Imports,2016
Africa,Africa,South Africa,424.0,Imports,2016
Africa,Africa,Rest Of Africa,865.0,Imports,2016
Africa,Africa,Africa Unallocated,158.0,Imports,2016
Europe,European Union (EU),Austria,444.0,Imports,2017
Europe,European Union (EU),Belgium,1350.0,Imports,2017
Europe,European Union (EU),Bulgaria,176.0,Imports,2017
Europe,European Union (EU),Croatia,44.0,Imports,2017
Europe,European Union (EU),Cyprus,137.0,Imports,2017
Europe,European Union (EU),Czechia,385.0,Imports,2017
Europe,European Union (EU),Denmark,781.0,Imports,2017
Europe,European Union (EU),Estonia,19.0,Imports,2017
Europe,European Union (EU),Finland,231.0,Imports,2017
Europe,European Union (EU),France,4917.0,Imports,2017
Europe,European Union (EU),Germany,6597.0,Imports,2017
Europe,European Union (EU),Greece,108.0,Imports,2017
Europe,European Union (EU),Hungary,372.0,Imports,2017
Europe,European Union (EU),Ireland,5340.0,Imports,2017
Europe,European Union (EU),Italy,1460.0,Imports,2017
Europe,European Union (EU),Latvia,23.0,Imports,2017
Europe,European Union (EU),Lithuania,59.0,Imports,2017
Europe,European Union (EU),Luxembourg,2170.0,Imports,2017
Europe,European Union (EU),Malta,98.0,Imports,2017
Europe,European Union (EU),Netherlands,4134.0,Imports,2017
Europe,European Union (EU),Poland,986.0,Imports,2017
Europe,European Union (EU),Portugal,337.0,Imports,2017
Europe,European Union (EU),Romania,258.0,Imports,2017
Europe,European Union (EU),Slovakia,83.0,Imports,2017
Europe,European Union (EU),Slovenia,0.0,Imports,2017
Europe,European Union (EU),Spain,1678.0,Imports,2017
Europe,European Union (EU),Sweden,1832.0,Imports,2017
Europe,European Free Trade Association (EFTA),Iceland,0.0,Imports,2017
Europe,European Free Trade Association (EFTA),Liechtenstein,69.0,Imports,2017
Europe,European Free Trade Association (EFTA),Norway,0.0,Imports,2017
Europe,European Free Trade Association (EFTA),Switzerland,2511.0,Imports,2017
Europe,Other Europe,Russia,342.0,Imports,2017
Europe,Other Europe,Isle Of Man,32.0,Imports,2017
Europe,Other Europe,Turkey,217.0,Imports,2017
Europe,Other Europe,Rest Of Europe,358.0,Imports,2017
Europe,Other Europe,Europe Unallocated,1962.0,Imports,2017
America,America,Brazil,381.0,Imports,2017
America,America,Canada,910.0,Imports,2017
America,America,Mexico,113.0,Imports,2017
