Continent,Region,Country,Value,Type,Year_
Africa,Africa,Africa Unallocated,348.0,Exports,2019
Europe,European Union (EU),Austria,844.0,Exports,2020
Europe,European Union (EU),Belgium,3643.0,Exports,2020
Europe,European Union (EU),Bulgaria,301.0,Exports,2020
Europe,European Union (EU),Croatia,113.0,Exports,2020
Europe,European Union (EU),Cyprus,528.0,Exports,2020
Europe,European Union (EU),Czechia,717.0,Exports,2020
Europe,European Union (EU),Denmark,3559.0,Exports,2020
Europe,European Union (EU),Estonia,113.0,Exports,2020
Europe,European Union (EU),Finland,1015.0,Exports,2020
Europe,European Union (EU),France,7149.0,Exports,2020
Europe,European Union (EU),Germany,11302.0,Exports,2020
Europe,European Union (EU),Greece,680.0,Exports,2020
Europe,European Union (EU),Hungary,964.0,Exports,2020
Europe,European Union (EU),Ireland,14436.0,Exports,2020
Europe,European Union (EU),Italy,3710.0,Exports,2020
Europe,European Union (EU),Latvia,72.0,Exports,2020
Europe,European Union (EU),Lithuania,131.0,Exports,2020
Europe,European Union (EU),Luxembourg,5438.0,Exports,2020
Europe,European Union (EU),Malta,1029.0,Exports,2020
Europe,European Union (EU),Netherlands,11791.0,Exports,2020
Europe,European Union (EU),Poland,1287.0,Exports,2020
Europe,European Union (EU),Portugal,469.0,Exports,2020
Europe,European Union (EU),Romania,405.0,Exports,2020
Europe,European Union (EU),Slovakia,308.0,Exports,2020
Europe,European Union (EU),Slovenia,108.0,Exports,2020
Europe,European Union (EU),Spain,2985.0,Exports,2020
Europe,European Union (EU),Sweden,3445.0,Exports,2020
Europe,European Free Trade Association (EFTA),Iceland,131.0,Exports,2020
